date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2021-08-04,876.76,13.08,1.51,865.29,878.8,864.31,19313,411834,1.52E+08
2021-08-03,863.68,4.98,0.58,855.57,863.73,852.7,16086,365442,1.50E+08
2021-08-02,858.7,-4.95,-0.57,865.66,867.55,852.89,15054,338750,1.49E+08
2021-07-30,863.65,-13.67,-1.56,869.3,872.1,859.81,23423,490044,1.50E+08
2021-07-29,877.32,3.38,0.39,876.79,881.82,873.87,21211,419685,1.52E+08
2021-07-28,873.94,10.55,1.22,862.35,874.76,859.42,21064,431432,1.51E+08
2021-07-27,863.39,2.9,0.34,864.74,869.19,860.81,16098,424769,1.49E+08
2021-07-26,860.49,-11.52,-1.32,874.38,874.38,859.71,15830,384116,1.49E+08
2021-07-23,872.01,2.34,0.27,870.62,875.44,863.28,55414,983011,1.51E+08
2021-07-22,869.67,19.6,2.31,859.73,872.6,859.19,21708,472699,1.51E+08
2021-07-21,850.07,0.13,0.02,855.36,857.97,849.6,15326,344367,1.47E+08
2021-07-20,849.94,-8.6,-1,847.05,851.97,844.99,18442,428191,1.47E+08
2021-07-19,858.54,-14.96,-1.71,865.11,867.69,857.98,13217,297998,1.49E+08
2021-07-16,873.5,4.23,0.49,868.11,873.85,861.91,14990,338889,1.51E+08
2021-07-15,869.27,6.29,0.73,863.14,869.52,861.9,16700,338998,1.50E+08
2021-07-14,862.98,-9.94,-1.14,872.83,872.83,861.09,17156,390779,1.49E+08
2021-07-13,872.92,11.59,1.35,863.38,875.54,863.38,17873,401513,1.51E+08
2021-07-12,861.33,15.38,1.82,849.33,867.23,849.33,17815,391817,1.49E+08
2021-07-09,845.95,-21.63,-2.49,866.11,866.11,839.98,35643,787103,1.47E+08
2021-07-08,867.58,-4.86,-0.56,872.44,878.89,867.49,24371,519598,1.50E+08
2021-07-07,872.44,-14.12,-1.59,886.18,886.18,869.71,23194,540540,1.51E+08
2021-07-06,886.56,-0.11,-0.01,887.39,891.48,885.78,12377,291372,1.53E+08
2021-07-05,886.67,-5.96,-0.67,892.75,894.22,885.59,13886,323837,1.53E+08
2021-07-02,892.63,4.15,0.47,888.99,896.18,888.62,15571,391273,1.54E+08
2021-07-01,888.48,-11.87,-1.32,900.67,901.48,888.09,18957,443688,1.53E+08
2021-06-30,900.35,-4.02,-0.44,904.39,905.89,898.29,17826,383057,1.55E+08
2021-06-29,904.37,-17.56,-1.9,919.1,919.1,902.56,21862,484997,1.55E+08
2021-06-28,921.93,5.08,0.55,917.05,926.25,911.55,24695,565805,1.58E+08
2021-06-25,916.85,23.49,2.63,893.72,917,893.7,31835,595826,1.57E+08
2021-06-24,893.36,7.95,0.9,885.16,897.07,881.73,16851,376185,1.53E+08
2021-06-23,885.41,-4.59,-0.52,890.18,891.74,881.61,18688,388250,1.52E+08
2021-06-22,890,14.97,1.71,882.05,892.16,881.63,21455,450704,1.53E+08
2021-06-21,875.03,-19.49,-2.18,893.54,893.54,873.48,28192,596284,1.50E+08
2021-06-18,894.52,-9.06,-1,901.5,901.5,892.25,31610,602881,1.53E+08
2021-06-17,903.58,-2.43,-0.27,906.57,915.06,897.97,30864,536999,1.55E+08
2021-06-16,906.01,16.35,1.84,889.46,909.06,889.46,39911,548236,1.55E+08
2021-06-15,889.66,1.48,0.17,888.44,893.63,881.81,20155,389791,1.53E+08
2021-06-14,888.18,-12.84,-1.43,899.76,900.8,885.12,21772,439523,1.52E+08
2021-06-11,901.02,-3.01,-0.33,902.53,905.34,896.75,24604,454763,1.54E+08
2021-06-10,904.03,-3.18,-0.35,907.09,908.15,900.32,31500,649467,1.54E+08
2021-06-09,907.21,-13.85,-1.5,920.7,920.78,907.21,22187,438814,1.55E+08
2021-06-08,921.06,-0.54,-0.06,920.65,923.87,916.49,19947,383548,1.57E+08
2021-06-07,921.6,3.45,0.38,918.29,921.89,912,20333,391616,1.57E+08
2021-06-04,918.15,-1.93,-0.21,920.41,926.96,915.97,27105,516084,1.57E+08
2021-06-03,920.08,-2.33,-0.25,922.83,928.73,920.05,27676,519950,1.57E+08
2021-06-02,922.41,4.28,0.47,918.02,927.38,916.33,22035,458521,1.57E+08
2021-06-01,918.13,2.95,0.32,914.9,921.36,909.44,21985,396525,1.57E+08
2021-05-31,915.18,10.2,1.13,908.31,917.96,904.63,25203,506012,1.56E+08
2021-05-28,904.98,13.85,1.55,892.28,909.31,892.28,23181,474851,1.55E+08
2021-05-27,891.13,-11.69,-1.29,902.84,908.63,891.13,52160,1220438,1.52E+08
2021-05-26,902.82,-3.71,-0.41,905.87,906.27,898.41,21541,410881,1.54E+08
2021-05-25,906.53,9.95,1.11,896.82,906.53,894.72,24292,456694,1.55E+08
2021-05-24,896.58,10.22,1.15,885.84,900.88,883.21,29851,463844,1.53E+08
2021-05-21,886.36,-16.78,-1.86,903.92,906.04,883.83,32156,588655,1.52E+08
2021-05-20,903.14,-13.59,-1.48,915.05,917.83,898.35,32872,611022,1.54E+08
2021-05-18,916.73,12.01,1.33,905.38,920.27,905.2,36386,580033,1.57E+08
2021-05-17,904.72,-5.56,-0.61,910.23,910.48,896.52,52654,675244,1.54E+08
2021-05-14,910.28,-7.59,-0.83,919.88,922.21,904.35,43180,588874,1.56E+08
2021-05-13,917.87,10.03,1.1,907.84,930.66,897.39,135576,1388728,1.57E+08
2021-05-12,907.84,-23.23,-2.49,930.08,930.08,894.9,47562,830865,1.55E+08
2021-05-11,931.07,1.37,0.15,929.46,936.36,913.94,39769,733385,1.59E+08
2021-05-10,929.7,16.72,1.83,913.69,932.44,911.42,46555,856722,1.59E+08
2021-05-07,912.98,8.94,0.99,905.44,914.08,901.31,36493,638152,1.56E+08
2021-05-06,904.04,43.01,5,861.87,904.1,861.85,58230,946007,1.55E+08
2021-05-04,861.03,-4.86,-0.56,867.46,870.17,851.46,27737,513666,1.47E+08
2021-05-03,865.89,-14.98,-1.7,881.88,885.15,862.94,33446,724971,1.48E+08
2021-04-30,880.87,10.28,1.18,870.58,892.23,869.95,39505,773149,1.51E+08
2021-04-29,870.59,-11.86,-1.34,882.55,886.78,867.63,30586,575357,1.49E+08
2021-04-28,882.45,4.57,0.52,878.84,889.16,878.79,47797,777040,1.51E+08
2021-04-27,877.88,9.36,1.08,869.28,878.23,868.89,29775,606328,1.51E+08
2021-04-26,868.52,13.25,1.55,857.29,875.46,857.29,48101,859627,1.49E+08
2021-04-23,855.27,9.54,1.13,844.21,861.86,840.54,53578,804551,1.47E+08
2021-04-22,845.73,10.94,1.31,835.95,850.21,835.95,33433,564189,1.45E+08
2021-04-21,834.79,-13.2,-1.56,847.39,847.43,830.48,28783,577078,1.43E+08
2021-04-20,847.99,17.04,2.05,831.31,847.99,830.7,43249,643936,1.46E+08
2021-04-19,830.95,-1.68,-0.2,833.29,835.41,829.53,18845,365414,1.43E+08
2021-04-16,832.63,-8.89,-1.06,840.16,840.29,831.99,26983,626942,1.43E+08
2021-04-15,841.52,5.35,0.64,836.19,846.69,835.33,22182,455123,1.44E+08
2021-04-14,836.17,0.95,0.11,834.98,837.02,829.59,22723,463917,1.44E+08
2021-04-13,835.22,-1.18,-0.14,835.88,836.22,829.84,23445,486893,1.43E+08
2021-04-12,836.4,5.47,0.66,832.16,841.44,831.12,25930,432721,1.43E+08
2021-04-09,830.93,-4.44,-0.53,837.66,839.67,829.03,42244,613255,1.43E+08
2021-04-08,835.37,-3.84,-0.46,840.21,840.42,832.15,50777,649226,1.43E+08
2021-04-07,839.21,15.12,1.83,823.82,842.89,822.96,88961,947101,1.44E+08
2021-04-06,824.09,-3.26,-0.39,826.5,828.47,820.49,25417,446932,1.41E+08
2021-04-05,827.35,7.16,0.87,819.14,827.72,814.89,16071,310314,1.42E+08
2021-04-02,820.19,-6.7,-0.81,826.97,827.46,816.92,21800,419764,1.41E+08
2021-04-01,826.89,-11.47,-1.37,839.06,839.31,824.12,30372,480589,1.42E+08
2021-03-31,838.36,12.82,1.55,826.44,840.84,823.34,48818,668764,1.43E+08
2021-03-30,825.54,8.44,1.03,817.23,831.9,817.16,27586,510661,1.41E+08
2021-03-29,817.1,3.86,0.47,814.24,819.53,805.08,20924,438702,1.40E+08
2021-03-26,813.24,6.75,0.84,810.23,818.61,810.23,23354,468968,1.39E+08
2021-03-25,806.49,11.09,1.39,795.17,811.69,789.78,22625,499615,1.38E+08
2021-03-24,795.4,-8.41,-1.05,803.11,804.51,793.66,21955,407260,1.36E+08
2021-03-23,803.81,-5.72,-0.71,809.4,815.02,802.45,25114,473497,1.38E+08
2021-03-22,809.53,3.33,0.41,806.17,813.95,801.26,25145,478246,1.39E+08
2021-03-19,806.2,2.03,0.25,806.25,815.75,800.53,53997,857522,1.38E+08
2021-03-18,804.17,-0.45,-0.06,804.93,811.03,793.56,32596,627361,1.38E+08
2021-03-17,804.62,-3.59,-0.44,808.24,808.74,798,20581,394439,1.38E+08
2021-03-16,808.21,1.15,0.14,806.68,811.57,804.58,21613,405142,1.39E+08
2021-03-15,807.06,6.22,0.78,802.01,810.79,799.31,28401,503594,1.39E+08
2021-03-12,800.84,-5.08,-0.63,805.05,805.27,792.85,28328,577343,1.38E+08
2021-03-11,805.92,3.99,0.5,804.45,818.12,803.39,40055,842799,1.38E+08
2021-03-10,801.93,-5.78,-0.72,805.91,806,789.2,33938,695199,1.38E+08
2021-03-09,807.71,16.09,2.03,792.95,812.42,792.95,59843,1260045,1.39E+08
2021-03-08,791.62,21.16,2.75,776.56,795.65,776.56,55165,988337,1.36E+08
2021-03-05,770.46,4.3,0.56,765.79,778.81,763.44,57178,949595,1.33E+08
2021-03-04,766.16,-0.07,-0.01,765.56,773.99,759.06,39327,703145,1.32E+08
2021-03-03,766.23,13.32,1.77,753.12,766.29,748.9,33630,577858,1.33E+08
2021-03-02,752.91,12.6,1.7,745.02,760.4,745.02,33742,714509,1.30E+08
2021-02-26,740.31,-17.45,-2.3,756.5,756.84,738.22,54433,871923,1.28E+08
2021-02-25,757.76,17.73,2.4,741.97,759.54,741.54,32342,630548,1.31E+08
2021-02-24,740.03,-7.28,-0.97,748.21,758.2,739.35,46895,798086,1.28E+08
2021-02-23,747.31,2.11,0.28,745.49,755.72,743.83,49427,683360,1.30E+08
2021-02-22,745.2,1.36,0.18,745.97,754.15,742.81,66550,800843,1.30E+08
2021-02-19,743.84,5.21,0.71,739.63,745.81,728.57,67643,709926,1.29E+08
2021-02-18,738.63,-15.25,-2.02,753.74,754.46,738.6,34791,568214,1.28E+08
2021-02-17,753.88,4.37,0.58,749.81,757.61,748.55,78928,771971,1.31E+08
2021-02-16,749.51,-0.16,-0.02,749.64,751.4,743.06,21100,402251,1.30E+08
2021-02-15,749.67,3.09,0.41,747.46,757.58,747.44,25995,521144,1.30E+08
2021-02-10,746.58,3.86,0.52,745.44,749.7,739.31,29882,538646,1.29E+08
2021-02-09,742.72,-3.16,-0.42,746.29,754.01,739.41,43374,646214,1.29E+08
2021-02-08,745.88,14.47,1.98,733.14,750.9,730.99,37783,772382,1.29E+08
2021-02-05,731.41,20.64,2.9,712.9,732.18,712.58,32923,655099,1.26E+08
2021-02-04,710.77,-9.92,-1.38,720.67,723.59,705.45,27885,539649,1.23E+08
2021-02-03,720.69,0.44,0.06,720.73,731.86,715.39,29373,539786,1.25E+08
2021-02-02,720.25,4.45,0.62,716.18,727.4,714.4,33045,522854,1.25E+08
2021-02-01,715.8,22.96,3.31,691.71,721.17,691.37,31480,588588,1.24E+08
2021-01-29,692.84,-25.59,-3.56,720.29,726.53,692.84,48307,867120,1.20E+08
2021-01-28,718.43,-14.31,-1.95,732.46,732.46,711.76,34985,685064,1.25E+08
2021-01-27,732.74,-1.82,-0.25,736.03,742.01,731.37,30347,721643,1.27E+08
2021-01-26,734.56,-14.07,-1.88,748.6,748.66,734.56,37444,781706,1.28E+08
2021-01-25,748.63,3.72,0.5,745.14,752.35,741.27,32086,539422,1.30E+08
