date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2021-08-04,767.64,13.32,1.77,753.28,768.64,749.85,47411,1621956,2.45E+08
2021-08-03,754.32,-4.98,-0.66,756.09,759.98,746.89,45687,1500739,2.41E+08
2021-08-02,759.3,-2.9,-0.38,763.31,764.49,754.81,35154,1192793,2.42E+08
2021-07-30,762.2,-11.59,-1.5,771.6,771.64,760.1,48985,1681311,2.43E+08
2021-07-29,773.79,1.48,0.19,777.25,779.09,771.71,32917,1191891,2.47E+08
2021-07-28,772.31,2.94,0.38,768.02,775.11,765.96,43662,1537799,2.46E+08
2021-07-27,769.37,6.04,0.79,768.47,776.81,768.16,52338,1655023,2.45E+08
2021-07-26,763.33,-10.67,-1.38,776.02,776.02,763.33,40932,1585068,2.44E+08
2021-07-23,774,1.23,0.16,773.17,775.85,771.35,50167,1633306,2.47E+08
2021-07-22,772.77,4.34,0.56,772.43,775.67,769.55,66205,1935640,2.46E+08
2021-07-21,768.43,5.09,0.67,769.29,771.73,765.41,113840,3184185,2.45E+08
2021-07-20,763.34,-6.24,-0.81,761.13,765.72,757.98,55528,2196725,2.43E+08
2021-07-19,769.58,-6.84,-0.88,770.12,771.4,765.48,40501,1382465,2.45E+08
2021-07-16,776.42,-1.61,-0.21,777.71,777.88,769.91,40990,1434681,2.47E+08
2021-07-15,778.03,4.37,0.56,775.69,779.73,775.25,46485,1770437,2.45E+08
2021-07-14,773.66,-1.29,-0.17,773.92,775.13,765.72,49807,1586138,2.44E+08
2021-07-13,774.95,5.91,0.77,769.97,780.17,769.97,50695,1467821,2.44E+08
2021-07-12,769.04,7.78,1.02,762.08,772.15,762.08,47652,1447318,2.42E+08
2021-07-09,761.26,-7.85,-1.02,765.53,765.53,753.08,74995,2281056,2.39E+08
2021-07-08,769.11,-17.22,-2.19,786.63,786.63,769.11,65695,2091578,2.42E+08
2021-07-07,786.33,-8.75,-1.1,793.93,794.16,784.95,63816,1781302,2.47E+08
2021-07-06,795.08,2.58,0.33,793.22,800.46,793.22,89191,2521465,2.50E+08
2021-07-05,792.5,8.39,1.07,784.58,794.73,784.58,83914,2314831,2.48E+08
2021-07-02,784.11,6.56,0.84,779.02,790,778.97,81908,1986911,2.46E+08
2021-07-01,777.55,-3.93,-0.5,782.13,783.7,774.95,72468,1711699,2.45E+08
2021-06-30,781.48,0.33,0.04,782.33,787.24,780.95,75976,1471422,2.46E+08
2021-06-29,781.15,-5.32,-0.68,787.35,787.35,779.39,88317,1980694,2.46E+08
2021-06-28,786.47,0.49,0.06,786.16,790.27,782.36,129440,2577427,2.47E+08
2021-06-25,785.98,8.63,1.11,777.71,793.72,777.71,178968,3115102,2.47E+08
2021-06-24,777.35,-1.88,-0.24,778.9,783.26,773.32,86487,2264074,2.44E+08
2021-06-23,779.23,-4.32,-0.55,783.84,786.34,774.59,94432,2357239,2.45E+08
2021-06-22,783.55,7.69,0.99,778.61,785.63,778.61,103131,2390810,2.45E+08
2021-06-21,775.86,-8.84,-1.13,782.37,782.37,770.56,77771,2174871,2.42E+08
2021-06-18,784.7,0.52,0.07,784.6,786.81,780.6,77665,2208121,2.45E+08
2021-06-17,784.18,-3.48,-0.44,787.65,787.65,780.35,69168,1728004,2.45E+08
2021-06-16,787.66,6.58,0.84,781.02,791.05,777.99,119542,2582039,2.46E+08
2021-06-15,781.08,-5.55,-0.71,786.75,786.75,777.07,79652,2191120,2.44E+08
2021-06-14,786.63,-0.46,-0.06,787.77,791.7,781.2,83354,2204146,2.45E+08
2021-06-11,787.09,6.24,0.8,781.54,788.61,779.5,93859,2473470,2.46E+08
2021-06-10,780.85,-2.81,-0.36,784.11,786.74,778.6,105653,2872987,2.24E+08
2021-06-09,783.66,-5.08,-0.64,789.36,795.75,783.23,132129,3233061,2.24E+08
2021-06-08,788.74,-9.28,-1.16,798.32,799.06,787.6,182577,4400000,2.26E+08
2021-06-07,798.02,15.42,1.97,784.85,798.26,784.53,200844,4872050,2.29E+08
2021-06-04,782.6,1.98,0.25,780.03,785.51,774.11,168855,3246229,2.24E+08
2021-06-03,780.62,-2.35,-0.3,784.6,785.53,777.07,98125,2374699,2.23E+08
2021-06-02,782.97,12.15,1.58,771.59,786.56,768.69,175208,3868782,2.23E+08
2021-06-01,770.82,11.88,1.57,759.92,773.43,759.89,117020,2436992,2.20E+08
2021-05-31,758.94,1.38,0.18,757.9,759.27,752.69,114881,2391757,2.17E+08
2021-05-28,757.56,3.39,0.45,756.05,760.78,753.7,87353,1869481,2.16E+08
2021-05-27,754.17,0.67,0.09,753.85,759.31,751.7,104024,2882133,2.14E+08
2021-05-26,753.5,2.71,0.36,750.97,756.15,749.59,76886,1784004,2.19E+08
2021-05-25,750.79,10.36,1.4,742.15,751.08,741.73,66278,1882053,2.18E+08
2021-05-24,740.43,2.43,0.33,740.23,746.67,737.43,57716,1399575,2.15E+08
2021-05-21,738,-7.52,-1.01,746.66,750.75,734.9,48702,1293479,2.14E+08
2021-05-20,745.52,-3.94,-0.53,747.82,747.82,737.93,50348,1292856,2.16E+08
2021-05-18,749.46,8.03,1.08,742.05,750.42,742.05,47846,1209279,2.17E+08
2021-05-17,741.43,1.96,0.27,741.58,746.67,737.61,50592,1408122,2.15E+08
2021-05-14,739.47,4.67,0.64,737.46,743.55,732.46,47380,1265981,2.14E+08
2021-05-13,734.8,-10.54,-1.41,742.21,747.04,728.94,75077,1991127,2.13E+08
2021-05-12,745.34,-15.31,-2.01,761.4,761.51,738.12,76689,2114645,2.16E+08
2021-05-11,760.65,1.52,0.2,758.12,762.17,753.8,79878,2015988,2.20E+08
2021-05-10,759.13,13.09,1.75,750.11,760.6,747.66,72361,1853324,2.20E+08
2021-05-07,746.04,5.84,0.79,741.16,749.02,741.1,82789,1657552,2.16E+08
2021-05-06,740.2,14.55,2.01,725.68,740.47,716.67,152851,2268256,2.15E+08
2021-05-04,725.65,-0.8,-0.11,727.8,729.22,715.06,70576,1732810,2.10E+08
2021-05-03,726.45,-10.95,-1.48,737.98,742.05,723.7,81640,1955224,2.10E+08
2021-04-30,737.4,-4.64,-0.63,742.41,749.42,736.74,93368,2151407,2.14E+08
2021-04-29,742.04,6.74,0.92,736.14,748.89,732.93,87818,2009471,2.15E+08
2021-04-28,735.3,-4.13,-0.56,740.47,745.67,728.46,85945,2235654,2.13E+08
2021-04-27,739.43,-3.66,-0.49,741.05,742.64,735.82,60375,1714797,2.15E+08
2021-04-26,743.09,22.01,3.05,726.27,743.1,725.94,94564,2179404,2.16E+08
2021-04-23,721.08,2.5,0.35,717.85,723.21,709.38,59763,1305492,2.09E+08
2021-04-22,718.58,5.22,0.73,714.46,720.77,714.46,76595,1452915,2.09E+08
2021-04-21,713.36,-9.53,-1.32,721.56,722.24,709.04,52861,1496940,2.07E+08
2021-04-20,722.89,5.05,0.7,717.09,724.69,716.3,68883,1657262,2.10E+08
2021-04-19,717.84,4.3,0.6,714.1,719.82,713.49,56459,1350729,2.09E+08
2021-04-16,713.54,4.56,0.64,709.42,714.67,705.89,58622,1454202,2.07E+08
2021-04-15,708.98,1.99,0.28,707.06,715.88,703.91,54747,1583984,2.06E+08
2021-04-14,706.99,8.27,1.18,699.04,708.12,697.59,48004,1391145,2.05E+08
2021-04-13,698.72,6.85,0.99,694.23,701.38,694.14,47910,1543351,2.02E+08
2021-04-12,691.87,3.48,0.51,689.83,694.08,685.4,40493,1270508,2.00E+08
2021-04-09,688.39,1.89,0.28,687.77,691.63,686.23,42184,1286910,1.99E+08
2021-04-08,686.5,5.33,0.78,681.11,688.55,677.98,77285,1841490,1.98E+08
2021-04-07,681.17,1.91,0.28,679.64,682.99,677.96,33975,946927,1.97E+08
2021-04-06,679.26,-3.66,-0.54,684.27,685.7,676.91,42374,1036743,1.96E+08
2021-04-05,682.92,2.63,0.39,681.16,684,679.09,50702,1105237,1.97E+08
2021-04-02,680.29,1.19,0.18,679.77,683.75,674.43,49355,1164635,1.97E+08
2021-04-01,679.1,-6.75,-0.98,686.31,689.35,678.06,60240,1365487,1.97E+08
2021-03-31,685.85,0.95,0.14,684.88,692.47,681.19,83108,1662357,1.98E+08
2021-03-30,684.9,4,0.59,681.93,689.55,680.65,76836,1736182,1.98E+08
2021-03-29,680.9,1.27,0.19,681.07,688.21,678.15,157953,2618749,1.97E+08
2021-03-26,679.63,22.49,3.42,658.89,681.04,658.89,132300,2455039,1.96E+08
2021-03-25,657.14,11.02,1.71,645.88,658.93,644.8,72843,1462078,1.90E+08
2021-03-24,646.12,0.76,0.12,645.09,647.61,635.56,77885,1306138,1.87E+08
2021-03-23,645.36,-8.47,-1.3,656.05,658.73,643.9,101017,1677218,1.82E+08
2021-03-22,653.83,0.98,0.15,652.39,657.03,648.65,150158,2047015,1.84E+08
2021-03-19,652.85,-0.57,-0.09,652.01,653.75,640.44,45625,1148242,1.84E+08
2021-03-18,653.42,-0.49,-0.07,655.74,661.94,653.35,37256,1000977,1.84E+08
2021-03-17,653.91,-5.33,-0.81,659.36,660.22,647.06,32418,942361,1.84E+08
2021-03-16,659.24,2.27,0.35,658.36,662.33,655.9,39606,973975,1.86E+08
2021-03-15,656.97,2.97,0.45,654.71,661.01,649.78,60468,1277704,1.85E+08
2021-03-12,654,16.14,2.53,640.44,655.07,640.44,71908,1434060,1.85E+08
2021-03-11,637.86,10.72,1.71,628.05,643.02,628.05,87808,1500067,1.80E+08
2021-03-10,627.14,-5.66,-0.89,634.9,640.94,623.93,42791,1067048,1.77E+08
2021-03-09,632.8,0.99,0.16,632.51,636.71,617.15,104081,1766856,1.79E+08
2021-03-08,631.81,-3.5,-0.55,636.81,643.41,630.83,59680,1260727,1.79E+08
2021-03-05,635.31,-9.48,-1.47,640.79,640.79,627.35,110499,1528613,1.80E+08
2021-03-04,644.79,-9.36,-1.43,652.83,652.83,638.97,44880,1166150,1.81E+08
