date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2021-08-04,1899.23,11.47,0.61,1892.34,1901.64,1874.52,11073,1066407,1.97E+08
2021-08-03,1887.76,-26.7,-1.39,1904.27,1904.89,1880.49,13679,1331828,1.96E+08
2021-08-02,1914.46,-1.75,-0.09,1927.48,1928.35,1885.86,11711,1178716,1.99E+08
2021-07-30,1916.21,-1.7,-0.09,1921.51,1939.02,1907.85,19026,1647871,1.98E+08
2021-07-29,1917.91,-5.45,-0.28,1935.98,1938.93,1907.89,15290,1414346,1.98E+08
2021-07-28,1923.36,-5.93,-0.31,1923.18,1934.24,1906.91,14073,1249550,1.98E+08
2021-07-27,1929.29,17.22,0.9,1926.5,1942.16,1917.86,15363,1337497,1.99E+08
2021-07-26,1912.07,-9.16,-0.48,1921.59,1929.21,1909.05,22932,1397281,1.97E+08
2021-07-23,1921.23,20.6,1.08,1910.58,1928.24,1907.47,14635,1309656,1.98E+08
2021-07-22,1900.63,39.91,2.14,1879.74,1901,1874.32,25784,1584622,1.96E+08
2021-07-21,1860.72,8.84,0.48,1871.69,1872.87,1857.49,15737,1176622,1.93E+08
2021-07-20,1851.88,-20.21,-1.08,1855.81,1863.74,1837.13,23242,1633527,1.92E+08
2021-07-19,1872.09,-13.77,-0.73,1869.91,1877.1,1863.75,13723,1255428,1.94E+08
2021-07-16,1885.86,-1.73,-0.09,1881.7,1890.82,1869.32,17035,1511586,1.95E+08
2021-07-15,1887.59,9.79,0.52,1879.69,1889.9,1874.78,17917,1615289,1.95E+08
2021-07-14,1877.8,10.44,0.56,1869.54,1886.6,1861.17,17593,1602283,1.95E+08
2021-07-13,1867.36,13.58,0.73,1857.23,1870.68,1854.14,18958,1455658,1.94E+08
2021-07-12,1853.78,23.7,1.3,1834.11,1860.77,1833.24,16935,1188491,1.93E+08
2021-07-09,1830.08,-21.81,-1.18,1851.46,1851.46,1798.32,19250,1525457,1.90E+08
2021-07-08,1851.89,-11.33,-0.61,1863.66,1881.51,1847.45,22230,1600075,1.93E+08
2021-07-07,1863.22,-2.55,-0.14,1864.28,1864.82,1842.46,10385,1099505,1.94E+08
2021-07-06,1865.77,3.72,0.2,1862.94,1870.04,1857.75,8516,760955,1.94E+08
2021-07-05,1862.05,10.7,0.58,1852.83,1870.12,1852.83,7811,748648,1.94E+08
2021-07-02,1851.35,-1.89,-0.1,1854.11,1865.75,1849.26,9363,767671,1.92E+08
2021-07-01,1853.24,-5.57,-0.3,1858.56,1866.97,1852.41,10495,1109664,1.92E+08
2021-06-30,1858.81,1.59,0.09,1857.95,1865.81,1848.55,12198,1124404,1.93E+08
2021-06-29,1857.22,-7.36,-0.39,1868.2,1871.3,1851.15,25087,1210060,1.92E+08
