date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2021-08-04,1837.23,25.82,1.43,1816.47,1837.64,1810.68,18573,991436,2.24E+08
2021-08-03,1811.41,16,0.89,1791.98,1811.42,1785.08,20152,985345,2.21E+08
2021-08-02,1795.41,9.43,0.53,1795.49,1799.22,1778.69,16973,956777,2.19E+08
2021-07-30,1785.98,-40.95,-2.24,1819.13,1820.12,1785.56,28254,1489180,2.17E+08
2021-07-29,1826.93,9.55,0.53,1825.74,1832.46,1820.66,17935,860450,2.22E+08
2021-07-28,1817.38,-3.68,-0.2,1817.65,1826.72,1803.53,41393,1199666,2.21E+08
2021-07-27,1821.06,1.56,0.09,1831.15,1832.57,1817.04,56562,1277038,2.22E+08
2021-07-26,1819.5,-19.61,-1.07,1840.8,1841.49,1818.16,13066,1071509,2.22E+08
2021-07-23,1839.11,-4.36,-0.24,1850.3,1852.59,1831.21,15644,1347403,2.24E+08
2021-07-22,1843.47,11.87,0.65,1837.73,1853.29,1836.56,14884,1075765,2.25E+08
2021-07-21,1831.6,6.06,0.33,1846.07,1847.08,1828.41,11747,903142,2.23E+08
2021-07-20,1825.54,9.89,0.54,1805.44,1831.4,1799.15,15640,1256194,2.22E+08
2021-07-19,1815.65,-26.27,-1.43,1825.1,1825.1,1811.15,13540,891416,2.21E+08
2021-07-16,1841.92,-15.48,-0.83,1855.25,1855.33,1833.38,14464,1021151,2.25E+08
2021-07-15,1857.4,14.1,0.76,1845.36,1865.28,1844.89,36415,2069480,2.26E+08
2021-07-14,1843.3,-8.81,-0.48,1851.66,1852.43,1835.97,16499,1437511,2.25E+08
2021-07-13,1852.11,21.18,1.16,1832.11,1852.93,1832.06,15625,1066280,2.26E+08
2021-07-12,1830.93,24.42,1.35,1816.35,1838.88,1816.35,10247,784301,2.23E+08
2021-07-09,1806.51,-23.03,-1.26,1824.05,1824.05,1790.92,20187,1460603,2.20E+08
2021-07-08,1829.54,-26.69,-1.44,1855.9,1859.11,1828.08,20151,1549425,2.23E+08
2021-07-07,1856.23,-25.52,-1.36,1877.9,1877.99,1851.12,18591,1498659,2.26E+08
2021-07-06,1881.75,6.55,0.35,1879.43,1893.09,1878.29,13967,1097902,2.29E+08
2021-07-05,1875.2,-6.52,-0.35,1881.76,1890.12,1867.01,13581,1110021,2.29E+08
2021-07-02,1881.72,-9.18,-0.49,1894.68,1903.92,1881.47,16185,1142765,2.29E+08
2021-07-01,1890.9,-0.57,-0.03,1890.4,1892.72,1871.12,16073,1356669,2.31E+08
2021-06-30,1891.47,3.51,0.19,1889.2,1895.59,1885.51,13687,1086093,2.31E+08
2021-06-29,1887.96,-5.27,-0.28,1892.75,1900.23,1880.15,14835,1190715,2.30E+08
2021-06-28,1893.23,-10.22,-0.54,1903.42,1908.96,1879.22,15394,1127316,2.32E+08
2021-06-25,1903.45,9.21,0.49,1897.14,1904.87,1887.17,16295,1251357,2.33E+08
2021-06-24,1894.24,3.01,0.16,1891.79,1919.57,1886.04,27561,2133831,2.32E+08
2021-06-23,1891.23,-9.8,-0.52,1902.75,1907.98,1878.82,24209,1515371,2.32E+08
2021-06-22,1901.03,35.25,1.89,1870.68,1904.83,1870.68,27152,1688326,2.33E+08
2021-06-21,1865.78,-13.57,-0.72,1875.7,1879.71,1859.26,29746,1638337,2.29E+08
2021-06-18,1879.35,10.25,0.55,1871.13,1887.31,1867.42,44189,1872453,2.30E+08
2021-06-17,1869.1,-15.46,-0.82,1878.72,1879.38,1862.01,15947,1312585,2.29E+08
2021-06-16,1884.56,9.97,0.53,1875.25,1893.16,1871.3,15243,1172001,2.31E+08
2021-06-15,1874.59,0.62,0.03,1871.78,1881,1863.67,15769,1145375,2.30E+08
2021-06-14,1873.97,3.02,0.16,1873.33,1875.93,1858.93,17437,1266942,2.30E+08
2021-06-11,1870.95,6.75,0.36,1867.84,1894.92,1866.48,21591,1358935,2.30E+08
2021-06-10,1864.2,-12.78,-0.68,1877.71,1880.04,1862.79,27557,1821627,2.29E+08
2021-06-09,1876.98,-14.63,-0.77,1892.18,1902.88,1876.54,25829,1630207,2.31E+08
