date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2021-08-04,3002.76,17.96,0.6,3005.58,3006.72,2967.13,46290,3449546,7.31E+08
2021-08-03,2984.8,46.74,1.59,2947.59,2993.9,2943.97,49226,3440600,7.21E+08
2021-08-02,2938.06,32.87,1.13,2924.15,2939.4,2902.34,33362,2219350,7.04E+08
2021-07-30,2905.19,-42.89,-1.45,2938.47,2939.84,2900.25,33074,2322684,6.96E+08
2021-07-29,2948.08,10.43,0.36,2956.35,2959.94,2931.85,33371,2398327,7.03E+08
2021-07-28,2937.65,-13.4,-0.45,2943.3,2958.52,2903.35,37873,2734013,7.03E+08
2021-07-27,2951.05,17.03,0.58,2956.11,2971.99,2935.46,29362,2208364,7.01E+08
2021-07-26,2934.02,-31.96,-1.08,2982.36,2984.92,2932.77,30804,1966729,7.02E+08
2021-07-23,2965.98,3.99,0.13,2963.41,2971.27,2950.56,32164,1954169,7.07E+08
2021-07-22,2961.99,43.73,1.5,2939.37,2965.96,2938.02,49800,2592139,7.10E+08
2021-07-21,2918.26,-15.17,-0.52,2953.13,2955.32,2908.36,31056,2135673,6.99E+08
2021-07-20,2933.43,-21.21,-0.72,2944.05,2953.16,2909.06,37406,2546976,7.03E+08
2021-07-19,2954.64,-25.58,-0.86,2956.14,2962.21,2938.36,39179,2447999,7.05E+08
2021-07-16,2980.22,-22.18,-0.74,2997.49,2997.49,2963.15,31752,2261545,7.12E+08
2021-07-15,3002.4,33.2,1.12,2973.98,3006.53,2970.64,42952,2959779,7.19E+08
2021-07-14,2969.2,-5.89,-0.2,2969.94,2976.44,2946.71,32586,2346045,7.11E+08
2021-07-13,2975.09,44.91,1.53,2941.73,2979.12,2939.33,32839,2515293,7.12E+08
2021-07-12,2930.18,10.27,0.35,2929.71,2949.88,2923.06,28102,1941708,7.07E+08
2021-07-09,2919.91,-14.85,-0.51,2921.12,2924.14,2875.13,50811,3433466,7.05E+08
2021-07-08,2934.76,-55.9,-1.87,2990.89,3002.6,2934.76,42590,2890896,7.09E+08
