date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2021-08-04,2905.5,49.64,1.74,2854.68,2909.33,2841.6,16712,1648042,2.43E+08
2021-08-03,2855.86,-33.52,-1.16,2898.56,2903.81,2841.51,18657,1917744,2.38E+08
2021-08-02,2889.38,-2.14,-0.07,2901.04,2907.48,2874.58,10284,1169905,2.41E+08
2021-07-30,2891.52,-59.17,-2.01,2936.98,2937.1,2891.52,13248,1406387,2.42E+08
2021-07-29,2950.69,19.7,0.67,2944.73,2957.18,2932.85,9254,1161915,2.46E+08
2021-07-28,2930.99,-4.77,-0.16,2924.75,2945.2,2913.94,11769,1446127,2.45E+08
2021-07-27,2935.76,-14.92,-0.51,2964.34,2977.53,2929.7,14716,1682211,2.46E+08
2021-07-26,2950.68,-16.76,-0.56,2998.32,3006.5,2944.41,18103,2154905,2.47E+08
2021-07-23,2967.44,32.28,1.1,2947.2,2979.93,2936.04,18840,2380324,2.49E+08
2021-07-22,2935.16,38.8,1.34,2903.11,2942.71,2895.38,30489,3405963,2.46E+08
2021-07-21,2896.36,-69.72,-2.35,2986.04,2996.89,2891.93,29034,3451459,2.41E+08
2021-07-20,2966.08,-19.42,-0.65,2970.49,2980.51,2942.28,17462,2200530,2.48E+08
2021-07-19,2985.5,-25.87,-0.86,2987.49,3001.46,2970.28,12936,1523159,2.50E+08
2021-07-16,3011.37,9.94,0.33,3000.06,3029,2983.66,20976,2547563,2.52E+08
2021-07-15,3001.43,8.83,0.3,2997.67,3005.37,2973.4,14052,1715317,2.52E+08
2021-07-14,2992.6,7.09,0.24,2983.35,3007.21,2975.77,13297,1693302,2.51E+08
2021-07-13,2985.51,41.02,1.39,2949.63,2992.61,2946.96,19164,2353568,2.51E+08
2021-07-12,2944.49,7.31,0.25,2938.19,2958.74,2911.57,14822,1701922,2.46E+08
2021-07-09,2937.18,-24.34,-0.82,2953.6,2953.6,2897.88,17241,2086383,2.45E+08
2021-07-08,2961.52,16.38,0.56,2947.82,2990.45,2945.84,16909,1963864,2.47E+08
2021-07-07,2945.14,14.16,0.48,2933.38,2966.78,2930.75,14396,1666610,2.46E+08
2021-07-06,2930.98,-1.05,-0.04,2938.17,2949.53,2929.39,17119,1556340,2.44E+08
2021-07-05,2932.03,-6.86,-0.23,2948.32,2969.09,2927.25,32693,3117440,2.44E+08
2021-07-02,2938.89,9.59,0.33,2929.3,2945.49,2902.64,34679,3040227,2.45E+08
2021-07-01,2929.3,-5.41,-0.18,2935.99,2966.57,2923.18,18574,2049842,2.44E+08
2021-06-30,2934.71,31.86,1.1,2906.08,2958.04,2896.16,19009,2518400,2.45E+08
2021-06-29,2902.85,14.1,0.49,2900.48,2906.16,2878.16,28298,3451279,2.41E+08
2021-06-28,2888.75,-3.26,-0.11,2892.92,2902.56,2867.21,13094,1565504,2.39E+08
2021-06-25,2892.01,-29.83,-1.02,2907.29,2919.7,2868.32,21043,2968405,2.40E+08
2021-06-24,2921.84,-63.34,-2.12,2997.47,3012.38,2907.35,27863,4460404,2.43E+08
2021-06-23,2985.18,103.27,3.58,2889.78,2993.81,2888.48,23475,3482685,2.49E+08
2021-06-22,2881.91,15.84,0.55,2867.98,2899.05,2865.39,14892,1655130,2.38E+08
2021-06-21,2866.07,-22.44,-0.78,2886.43,2899.31,2840.69,19089,2309401,2.36E+08
2021-06-18,2888.51,54,1.91,2835.61,2907.98,2835.61,22023,2936041,2.38E+08
2021-06-17,2834.51,20.4,0.72,2801.38,2841.67,2785.08,14945,1807765,2.33E+08
2021-06-16,2814.11,-11.52,-0.41,2826.15,2830.12,2800.79,13533,1604208,2.31E+08
2021-06-15,2825.63,1.91,0.07,2828.9,2836.12,2801.8,16186,1682027,2.32E+08
2021-06-14,2823.72,62.34,2.26,2764.6,2828.14,2764.58,17307,2014948,2.31E+08
2021-06-11,2761.38,10.03,0.36,2758.61,2784.21,2745.66,13153,1413043,2.25E+08
2021-06-10,2751.35,55.4,2.05,2697.19,2771.01,2697.14,21191,2364152,2.28E+08
2021-06-09,2695.95,4.58,0.17,2690.65,2715.77,2684.78,12234,936547,2.22E+08
2021-06-08,2691.37,16.41,0.61,2676.1,2706.08,2674.03,11051,926605,2.22E+08
2021-06-07,2674.96,29.46,1.11,2650.23,2686.38,2648.07,10839,883852,2.21E+08
2021-06-04,2645.5,-47.16,-1.75,2692.27,2692.27,2632.66,14757,1141036,2.18E+08
2021-06-03,2692.66,-2.54,-0.09,2695.74,2711.19,2687,13230,976341,2.22E+08
2021-06-02,2695.2,-12.73,-0.47,2707.98,2728.45,2685.85,14700,1037587,2.22E+08
2021-06-01,2707.93,42.18,1.58,2669.8,2709.85,2669.8,12577,1108044,2.23E+08
2021-05-31,2665.75,34.08,1.29,2633.74,2669.49,2631.88,15805,1135362,2.20E+08
2021-05-28,2631.67,-17.19,-0.65,2648.93,2654.18,2622.96,13527,1158262,2.17E+08
2021-05-27,2648.86,24.62,0.94,2624.74,2658.48,2595.08,23164,2274343,2.18E+08
2021-05-26,2624.24,21.21,0.81,2606.17,2635.4,2601.7,15066,1130125,2.17E+08
2021-05-25,2603.03,20.61,0.8,2586.55,2603.03,2574.29,12258,999016,2.15E+08
2021-05-24,2582.42,6.72,0.26,2570.56,2587.05,2556.89,13361,1010321,2.13E+08
2021-05-21,2575.7,38.5,1.52,2537.27,2596.6,2537.27,14875,1296184,2.13E+08
2021-05-20,2537.2,7.39,0.29,2528.43,2546.88,2506.36,13834,1094940,2.10E+08
2021-05-18,2529.81,42.82,1.72,2487.61,2534.58,2487.61,16881,1082318,2.09E+08
2021-05-17,2486.99,4.97,0.2,2482.55,2502.78,2467.89,15591,998527,2.06E+08
2021-05-14,2482.02,3.14,0.13,2476.2,2498.6,2472.47,13701,1013465,2.05E+08
2021-05-13,2478.88,-26.47,-1.06,2505.05,2505.05,2457.83,20079,1531051,2.04E+08
2021-05-12,2505.35,-33.98,-1.34,2538.8,2547.57,2487.14,19707,1530562,2.09E+08
2021-05-11,2539.33,-35.85,-1.39,2568.75,2568.84,2518.13,16718,1718848,2.13E+08
2021-05-10,2575.18,44.74,1.77,2532.6,2579.3,2526.55,12906,1213623,2.16E+08
2021-05-07,2530.44,19.53,0.78,2513.78,2548.98,2513.12,12137,970673,2.13E+08
2021-05-06,2510.91,-4.99,-0.2,2513.69,2526.29,2493.75,14007,1211055,2.12E+08
2021-05-04,2515.9,17.94,0.72,2497.25,2518.71,2472.11,17773,1171839,2.12E+08
2021-05-03,2497.96,-1.45,-0.06,2501.05,2534.26,2482.39,14532,1093409,2.10E+08
2021-04-30,2499.41,-43.39,-1.71,2540.57,2541.34,2477.52,15595,1559556,2.10E+08
2021-04-29,2542.8,-35.08,-1.36,2582.3,2590.34,2536.88,12352,1228145,2.14E+08
2021-04-28,2577.88,-50.1,-1.91,2626.75,2631.06,2573.67,11701,999740,2.17E+08
2021-04-27,2627.98,16.47,0.63,2609.72,2647.66,2609.72,12303,1231788,2.21E+08
2021-04-26,2611.51,8.85,0.34,2599.03,2611.55,2593.33,10401,930169,2.20E+08
2021-04-23,2602.66,-0.56,-0.02,2598.56,2615.51,2572.12,9748,943265,2.20E+08
2021-04-22,2603.22,0.86,0.03,2604.53,2618.55,2593.66,11445,1085265,2.20E+08
2021-04-21,2602.36,-42.36,-1.6,2644.39,2644.56,2591.73,14745,1407470,2.19E+08
2021-04-20,2644.72,12.92,0.49,2629.45,2651.33,2620.71,12427,1016539,2.23E+08
2021-04-19,2631.8,-18.53,-0.7,2657.19,2660.97,2628,13854,1426276,2.22E+08
2021-04-16,2650.33,-2.25,-0.08,2637.64,2662.09,2633.57,24186,2508637,2.23E+08
2021-04-15,2652.58,65.95,2.55,2588.72,2710.58,2588.72,31057,3395480,2.24E+08
2021-04-14,2586.63,-3.41,-0.13,2589.57,2602.76,2579.62,11581,1111777,2.18E+08
2021-04-13,2590.04,26.82,1.05,2564.18,2591.41,2561.09,14931,1007945,2.19E+08
2021-04-12,2563.22,11.84,0.46,2551.35,2564.09,2546.34,12222,1066301,2.17E+08
2021-04-09,2551.38,27.37,1.08,2530.61,2554,2529.18,16234,1566649,2.16E+08
2021-04-08,2524.01,13.02,0.52,2514.04,2543.01,2493.3,13778,1544719,2.14E+08
2021-04-07,2510.99,-5.81,-0.23,2518.32,2519.29,2490.71,12641,1452023,2.13E+08
2021-04-06,2516.8,68.39,2.79,2451.58,2518.92,2450.75,13636,1989544,2.14E+08
2021-04-05,2448.41,-0.83,-0.03,2449.47,2456.74,2434.96,9673,1095449,2.07E+08
2021-04-02,2449.24,13.83,0.57,2448.72,2457.95,2438.63,7713,843845,2.07E+08
2021-04-01,2435.41,-0.49,-0.02,2439.62,2451.88,2423.12,8296,931822,2.06E+08
2021-03-31,2435.9,26.43,1.1,2412.98,2457.69,2411.72,9066,1053373,2.06E+08
2021-03-30,2409.47,25.09,1.05,2390.82,2427.05,2390.02,8570,994590,2.04E+08
2021-03-29,2384.38,-60.41,-2.47,2445.26,2445.27,2382.56,10288,1291264,2.02E+08
