date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2021-08-04,1750.15,25.65,1.49,1722.04,1753.2,1718.72,3554,322320,9.76E+07
2021-08-03,1724.5,-1.41,-0.08,1716.79,1725.71,1707.27,3552,307463,9.61E+07
2021-08-02,1725.91,4.04,0.23,1728.99,1733.13,1721.01,3392,289477,9.63E+07
2021-07-30,1721.87,-27.64,-1.58,1742.87,1742.87,1719.26,5470,412159,9.61E+07
2021-07-29,1749.51,-1.52,-0.09,1754.33,1760.86,1743.99,4937,446806,9.76E+07
2021-07-28,1751.03,1.55,0.09,1750.31,1756.14,1732.26,4139,410758,9.78E+07
2021-07-27,1749.48,8.09,0.46,1749.27,1756.75,1746.37,3778,374805,9.76E+07
2021-07-26,1741.39,-17.62,-1,1761.27,1763.03,1741.39,3899,405879,9.73E+07
2021-07-23,1759.01,-31.69,-1.77,1777.56,1778.63,1755.74,3442,482851,9.84E+07
2021-07-22,1790.7,-10.31,-0.57,1803.36,1816.93,1781.35,4091,396016,1.00E+08
2021-07-21,1801.01,-4.28,-0.24,1806.61,1814.54,1792.49,3391,254209,1.01E+08
2021-07-20,1805.29,-11.85,-0.65,1807.57,1813.47,1802.02,4364,274021,1.01E+08
2021-07-19,1817.14,-13.22,-0.72,1822.98,1827.17,1812.17,3872,277526,1.02E+08
2021-07-16,1830.36,6.04,0.33,1824.63,1831.35,1818.1,4604,352158,1.03E+08
2021-07-15,1824.32,19.61,1.09,1808.09,1826.98,1804.31,3965,361794,1.01E+08
2021-07-14,1804.71,-15.34,-0.84,1819.91,1819.91,1799.17,3118,241762,1.00E+08
2021-07-13,1820.05,13.53,0.75,1809.02,1825.01,1809.02,4427,273040,1.01E+08
2021-07-12,1806.52,16.4,0.92,1791.56,1807.63,1790.54,3659,236912,1.00E+08
2021-07-09,1790.12,-35.8,-1.96,1820.3,1820.3,1779.62,6747,469475,9.96E+07
2021-07-08,1825.92,-6.18,-0.34,1833.26,1842.15,1818,6312,455345,1.02E+08
2021-07-07,1832.1,-12.26,-0.66,1843.63,1848.71,1830.52,5770,366490,1.02E+08
2021-07-06,1844.36,3.71,0.2,1844.5,1852.73,1839.66,4405,316201,1.02E+08
2021-07-05,1840.65,2.91,0.16,1841.77,1847.65,1837.08,6261,355273,1.02E+08
2021-07-02,1837.74,-11.41,-0.62,1846.79,1851.52,1831.06,4091,303642,1.02E+08
2021-07-01,1849.15,-9.23,-0.5,1857.4,1860.64,1843.82,4810,407642,1.03E+08
2021-06-30,1858.38,-5.16,-0.28,1864.59,1870.06,1856.07,4751,382042,1.03E+08
2021-06-29,1863.54,-0.48,-0.03,1864.67,1870.39,1857.89,4033,341239,1.04E+08
2021-06-28,1864.02,-4.62,-0.25,1868.43,1870.14,1856.8,4987,357939,1.04E+08
2021-06-25,1868.64,8.08,0.43,1860.27,1874.27,1857.5,6430,484528,1.04E+08
2021-06-24,1860.56,7.67,0.41,1854.3,1860.56,1839.38,6290,570635,1.03E+08
2021-06-23,1852.89,-26.13,-1.39,1878.98,1882.33,1848.38,7033,564170,1.03E+08
2021-06-22,1879.02,-0.17,-0.01,1880.6,1889.71,1871.73,4481,369202,1.05E+08
2021-06-21,1879.19,-16.65,-0.88,1893.89,1893.91,1870.75,6514,412077,1.05E+08
2021-06-18,1895.84,2.16,0.11,1894.97,1904.22,1887.2,5760,463273,1.05E+08
2021-06-17,1893.68,-5.31,-0.28,1897.81,1901.25,1888.82,6547,528948,1.05E+08
2021-06-16,1898.99,32.81,1.76,1865.14,1902.51,1864.03,9534,757197,1.05E+08
2021-06-15,1866.18,9.52,0.51,1859.09,1867.95,1851.84,7866,465996,1.03E+08
2021-06-14,1856.66,5.26,0.28,1854.08,1859.64,1848.25,9228,411781,1.03E+08
2021-06-11,1851.4,-7.01,-0.38,1859.41,1862.71,1846.09,8790,481211,1.03E+08
2021-06-10,1858.41,8.38,0.45,1850.88,1862.96,1842.72,6276,419796,1.04E+08
2021-06-09,1850.03,-5.39,-0.29,1855.46,1867.03,1848.41,5474,354407,1.03E+08
2021-06-08,1855.42,0.62,0.03,1853.66,1864.02,1849.42,5719,304136,1.03E+08
2021-06-07,1854.8,-1.77,-0.1,1858.55,1863.24,1839.05,5998,352904,1.03E+08
2021-06-04,1856.57,-2.49,-0.13,1857.7,1862.23,1850.41,5922,346154,1.03E+08
2021-06-03,1859.06,-14.16,-0.76,1872.79,1873.15,1859.06,8092,458518,1.04E+08
2021-06-02,1873.22,-4.38,-0.23,1875.27,1881.48,1863.57,6554,437267,1.04E+08
2021-06-01,1877.6,0.64,0.03,1880.36,1888.24,1870.82,7113,427905,1.05E+08
2021-05-31,1876.96,24.87,1.34,1852.65,1881.55,1852.65,9008,506030,1.05E+08
2021-05-28,1852.09,-6.38,-0.34,1858.16,1868.5,1849.47,7321,393183,1.03E+08
2021-05-27,1858.47,-11.34,-0.61,1869.97,1891.42,1858.47,14062,893510,1.03E+08
2021-05-26,1869.81,27.12,1.47,1843.19,1874.54,1843.02,10211,547049,1.04E+08
2021-05-25,1842.69,25.39,1.4,1817.19,1846.29,1812.16,7137,413052,1.03E+08
2021-05-24,1817.3,8.83,0.49,1807.34,1819.26,1800.17,5535,305913,1.01E+08
2021-05-21,1808.47,-21.87,-1.19,1830.4,1837.01,1803.15,9142,420200,1.01E+08
2021-05-20,1830.34,-20.06,-1.08,1849.2,1849.32,1825.78,11352,490639,1.02E+08
2021-05-18,1850.4,3.1,0.17,1852.08,1869.01,1846.01,23270,700644,1.03E+08
2021-05-17,1847.3,10.67,0.58,1836.33,1856.79,1836.15,8688,425540,1.03E+08
2021-05-14,1836.63,-4.35,-0.24,1840.54,1850.08,1833.22,9561,447398,1.02E+08
2021-05-13,1840.98,-1.85,-0.1,1839.76,1857.04,1816.09,15301,756502,1.03E+08
2021-05-12,1842.83,-21.45,-1.15,1863.65,1867.15,1825.29,13997,675297,1.03E+08
2021-05-11,1864.28,13.72,0.74,1852.13,1870.1,1833.11,16062,826062,1.04E+08
2021-05-10,1850.56,34.18,1.88,1817.43,1854.48,1817.43,13549,613484,1.03E+08
2021-05-07,1816.38,18.16,1.01,1800.27,1823.9,1795.53,13842,517879,1.01E+08
2021-05-06,1798.22,19.88,1.12,1779.37,1798.22,1768.35,5007,384227,1.00E+08
2021-05-04,1778.34,-5.59,-0.31,1784.31,1792.24,1755.7,6197,505320,9.93E+07
2021-05-03,1783.93,4.3,0.24,1782.43,1792.62,1778.26,5111,373313,9.95E+07
2021-04-30,1779.63,-8.94,-0.5,1788.65,1799.11,1779.63,5039,397263,9.93E+07
2021-04-29,1788.57,2.29,0.13,1787.7,1794.59,1774.35,5231,455887,9.98E+07
2021-04-28,1786.28,6.99,0.39,1784.36,1797.56,1772.19,6735,571415,9.97E+07
2021-04-27,1779.29,-15.16,-0.84,1794.84,1798.52,1773.53,4339,318522,9.93E+07
2021-04-26,1794.45,-0.38,-0.02,1795.64,1798.9,1783.74,3629,268608,1.00E+08
2021-04-23,1794.83,17.74,1,1775.57,1799.9,1762.36,3633,363852,1.00E+08
2021-04-22,1777.09,-8.02,-0.45,1785.39,1787.96,1773.04,3567,319138,9.89E+07
2021-04-21,1785.11,-28.63,-1.58,1813.53,1813.53,1781.69,5022,397208,9.94E+07
