date,close,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2021-08-04,3805.21,51.17,1.36,3758.17,3807.36,3748.15,21002,1458996,2.24E+08
2021-08-03,3754.04,-0.13,0,3749.79,3755.56,3718.21,22455,1560973,2.21E+08
2021-08-02,3754.17,107.44,2.95,3663.07,3754.17,3663.07,30573,2075481,2.21E+08
2021-07-30,3646.73,-83.7,-2.24,3719.83,3722.06,3645.48,23155,1443054,2.13E+08
2021-07-29,3730.43,29.05,0.78,3714.79,3737.32,3714.79,19693,1168260,2.18E+08
2021-07-28,3701.38,-33.38,-0.89,3728.3,3741.97,3690.19,20112,1311036,2.16E+08
2021-07-27,3734.76,-1.72,-0.05,3758.57,3774.17,3726.56,18768,1206119,2.18E+08
2021-07-26,3736.48,-51.19,-1.35,3802.87,3805.83,3726.59,20304,1175548,2.17E+08
2021-07-23,3787.67,10.73,0.28,3769.11,3818.55,3766.11,21546,1045442,2.19E+08
2021-07-22,3776.94,-13.83,-0.36,3805.3,3810.93,3763,30252,1592841,2.18E+08
2021-07-21,3790.77,-42.56,-1.11,3861.08,3861.24,3790.57,28495,1955743,2.19E+08
2021-07-20,3833.33,39.65,1.05,3795.74,3843.92,3795.56,32938,2304468,2.22E+08
2021-07-19,3793.68,-32.22,-0.84,3824.52,3835.45,3793.68,32504,2291057,2.20E+08
2021-07-16,3825.9,12.03,0.32,3808.09,3841.4,3776.26,29710,1932708,2.21E+08
2021-07-15,3813.87,40.11,1.06,3776.24,3829.37,3776.24,39338,1829680,2.19E+08
2021-07-14,3773.76,-19.66,-0.52,3792.24,3795.52,3761.19,28044,1564240,2.17E+08
2021-07-13,3793.42,-20.47,-0.54,3818.29,3834.87,3789.2,36344,1855447,2.18E+08
2021-07-12,3813.89,8.28,0.22,3808.72,3841.49,3808.72,20927,1285512,2.19E+08
2021-07-09,3805.61,-33.36,-0.87,3828.6,3842.56,3772.75,37607,2491572,2.18E+08
2021-07-08,3838.97,-35.83,-0.92,3890.05,3896.69,3838.72,62476,3708829,2.20E+08
2021-07-07,3874.8,0.34,0.01,3876.07,3907.26,3866.27,47093,3021704,2.21E+08
2021-07-06,3874.46,-129.74,-3.24,3992.33,3992.33,3873.78,47240,2892218,2.22E+08
2021-07-05,4004.2,90.56,2.31,3918.74,4010.44,3918.74,59492,4285891,2.29E+08
2021-07-02,3913.64,8.68,0.22,3906.5,3923.8,3897.13,56428,3358747,2.24E+08
2021-07-01,3904.96,63.96,1.67,3845.88,3915.1,3828.62,45225,2672678,2.23E+08
2021-06-30,3841,25.45,0.67,3822.69,3860.55,3820.67,56389,3046189,2.19E+08
2021-06-29,3815.55,6.31,0.17,3813.44,3850.39,3805.22,30222,1866644,2.19E+08
2021-06-28,3809.24,12.92,0.34,3810.09,3830.86,3802.22,35292,2227513,2.18E+08
2021-06-25,3796.32,-49.87,-1.3,3848.11,3881.36,3774.39,56208,3862392,2.17E+08
2021-06-24,3846.19,-23.72,-0.61,3875.52,3903.13,3830.05,56281,3148598,2.20E+08
2021-06-23,3869.91,92.76,2.46,3779.65,3900.86,3779.65,85255,4880104,2.21E+08
