,r2,adj-r2,coef,t,p
eqw,0.9932797832150448,0.9932759514844823,,,
const,,,-4.123760817694442e-06,-0.3009819823496974,0.7634341804134185
Mkt-RF,,,1.0090904454878449,1114.9479613598153,0.0
SMB,,,0.538861464409217,329.6099205283754,0.0
HML,,,0.20426340681713714,118.52363921706029,0.0
RMW,,,-0.023528980038685258,-10.145250552611047,4.488855135200648e-24
CMA,,,0.04490157429417041,15.341242531491599,1.4988841116390565e-52
RF,,,1.0403773533345677,15.904245169288757,2.674930240991621e-56
gmv,0.8726090162100552,0.8725363804690365,,,
const,,,0.0001469925052770221,3.2937106866630415,0.00099200640607171
Mkt-RF,,,0.7408655416069196,251.30846994406267,0.0
SMB,,,0.3230284207184409,60.66065679196428,0.0
HML,,,0.0604695004757287,10.77194219968866,6.45111590117247e-27
RMW,,,0.10267704514075747,13.591777747320174,1.0073035425195333e-41
CMA,,,0.16899831945715477,17.726564705073258,2.6476238728545643e-69
RF,,,0.8133306838534488,3.8170913658523835,0.00013580817928933835
rp,0.9906980928463466,0.9906927890885853,,,
const,,,7.851587153275e-06,0.505184644979265,0.6134397340122749
Mkt-RF,,,0.9793789536508158,953.939706835559,0.0
SMB,,,0.5157516842833363,278.1054232571178,0.0
HML,,,0.19880214462410575,101.69067439676803,0.0
RMW,,,0.012821470988557628,4.873524855699237,1.1122466374376081e-06
CMA,,,0.07608750421953957,22.917010416699103,1.831057159405089e-113
RF,,,1.0332388586741763,13.924145682529497,1.1019344293626029e-43
md,0.9520717201531703,0.9520443924254234,,,
const,,,1.4720148413475509e-05,0.42730444432700426,0.6691663390849532
Mkt-RF,,,0.940515438089699,413.30306223015805,0.0
SMB,,,0.3161198448502913,76.90473824886298,0.0
HML,,,0.2666946303452052,61.54699720899582,0.0
RMW,,,-0.08807312445137425,-15.103627635444772,5.2404966036473175e-51
CMA,,,0.10088012389808793,13.708273649875123,2.09396597792785e-42
RF,,,1.0349147493613027,6.292235071464275,3.2537423105307263e-10
eqw,0.992916024044589,0.9929140050508719,,,
const,,,0.0001593108594076375,17.115801512162097,8.486411482036975e-65
Mkt-RF,,,1.0068579673871487,1183.4776335453648,0.0
SMB,,,0.5422797656583194,340.22943774728776,0.0
HML,,,0.21712418711383127,144.60470036558183,0.0
gmv,0.8658759613781658,0.8658377348803636,,,
const,,,0.0003183301469913662,10.505961133184766,1.0864920447799853e-25
Mkt-RF,,,0.7131390161239414,257.4970157366513,0.0
SMB,,,0.2954510491551012,56.942978941314166,0.0
HML,,,0.12041691691703071,24.635867917449346,2.449372782298145e-130
rp,0.9900223728496252,0.9900195291405761,,,
const,,,0.00018212267746813422,17.099397388458577,1.1161117429121238e-64
Mkt-RF,,,0.97024533708791,996.6400281705465,0.0
SMB,,,0.5103324989736583,279.8121906960558,0.0
HML,,,0.22383620539242347,130.27751235621827,0.0
md,0.9501346670630355,0.9501204550167871,,,
const,,,0.00016998365421716936,7.311065424667641,2.8428949682456395e-13
Mkt-RF,,,0.939448530725074,442.0653580218745,0.0
SMB,,,0.33226553208325776,83.45558916814724,0.0
HML,,,0.29255716541606563,78.00215331907317,0.0
eqw,0.9788432883029218,0.9788392687889678,,,
const,,,0.0001856952023584846,11.547051067119247,1.1684915578814685e-30
Mkt-RF,,,0.9958562214803706,680.0911697452185,0.0
SMB,,,0.5740105146235065,210.4062594909855,0.0
gmv,0.858142409728795,0.8581154585384708,,,
const,,,0.0003329628844825073,10.68771720630843,1.5890290470475703e-26
Mkt-RF,,,0.7070374558122648,249.24797711040694,0.0
SMB,,,0.3130488995495989,59.233816427861186,0.0
rp,0.9739343446240315,0.9739293924714,,,
const,,,0.00020932264669494977,12.162319112593268,8.31350901600816e-34
Mkt-RF,,,0.9589034912567326,611.8925544164862,0.0
SMB,,,0.5430441490990474,185.9960496998706,0.0
md,0.9213110458896157,0.9212960959600801,,,
const,,,0.00020553440831643513,7.038896965573649,2.058406804654165e-12
Mkt-RF,,,0.9246245738002415,347.76477838200543,0.0
SMB,,,0.37502013302008086,75.70822416505028,0.0
eqw,0.8898697511169563,0.8898592904170244,,,
const,,,0.00020225245233204477,5.512654813304038,3.617970910988902e-08
Mkt-RF,,,0.9712512847533881,291.6640150008847,0.0
gmv,0.8108613300253236,0.8108433647261238,,,
const,,,0.0003419927345492614,9.507535560712835,2.3778587687102207e-21
Mkt-RF,,,0.6936186278123605,212.4496732450636,0.0
rp,0.888275646988469,0.8882650348728713,,,
const,,,0.0002249866763498939,6.314561586513657,2.8185261566237106e-10
Mkt-RF,,,0.9356259264941708,289.3162929377907,0.0
md,0.8784665271648552,0.878454983331949,,,
const,,,0.00021635180961718326,5.962321106120363,2.5666566599788477e-09
Mkt-RF,,,0.9085493514668036,275.8592766254019,0.0
